Temperature,Humidity,Sunlight_Hours,Water_Frequency,Soil_Type,Fertilizer_Type,Growth_Stage
26.4,50.7,13.1,5,clay,organic,Fruiting
18.1,69.9,5.1,6,sandy,organic,Seedling
25.7,65.7,7.7,5,loamy,organic,Vegetative
22.4,75.8,4.5,7,loamy,none,Seedling
18.3,75.3,4.6,6,sandy,organic,Seedling
22.2,59.7,8.7,5,loamy,organic,Vegetative
28.6,52.7,12.3,6,loamy,chemical,Fruiting
25.4,61.6,8.1,4,clay,organic,Vegetative
25.8,57.9,11.9,4,loamy,chemical,Flowering
19.4,65.5,5.6,5,loamy,organic,Seedling
29.4,59.2,12.0,6,loamy,organic,Fruiting
21.1,77.2,6.2,6,loamy,organic,Seedling
29.2,56.0,11.7,5,clay,chemical,Fruiting
27.2,55.2,6.5,6,loamy,organic,Vegetative
20.1,46.0,9.1,3,loamy,chemical,Flowering
24.2,46.0,10.9,4,loamy,chemical,Flowering
21.0,46.4,9.4,4,loamy,chemical,Flowering
27.8,69.1,7.4,4,clay,organic,Vegetative
21.1,45.3,8.4,5,loamy,organic,Flowering
23.2,63.8,6.9,6,loamy,organic,Vegetative
25.5,60.5,11.7,4,clay,chemical,Fruiting
24.7,62.8,7.1,6,loamy,chemical,Vegetative
23.6,67.7,4.1,6,loamy,organic,Seedling
18.2,77.8,6.6,6,sandy,organic,Seedling
22.7,79.8,5.1,7,sandy,organic,Seedling
27.7,70.0,8.9,5,loamy,chemical,Vegetative
23.8,69.1,7.8,6,clay,chemical,Vegetative
21.1,65.9,6.0,7,sandy,none,Seedling
27.2,64.8,7.5,6,loamy,chemical,Vegetative
20.5,72.8,5.0,7,loamy,organic,Seedling
24.9,58.2,11.4,5,loamy,chemical,Flowering
23.5,77.8,4.4,5,loamy,organic,Seedling
23.9,60.5,8.9,5,clay,organic,Vegetative
19.3,82.3,6.8,6,sandy,organic,Seedling
22.8,80.8,6.8,7,loamy,organic,Seedling
26.8,57.2,12.2,5,loamy,chemical,Fruiting
28.6,54.8,11.4,5,clay,chemical,Fruiting
24.7,62.2,11.7,4,clay,organic,Fruiting
18.0,66.9,4.2,6,sandy,none,Seedling
24.7,63.8,13.6,5,loamy,chemical,Fruiting
24.0,54.1,11.2,5,loamy,organic,Flowering
20.8,53.3,9.1,4,loamy,organic,Flowering
26.7,59.9,7.8,6,clay,chemical,Vegetative
24.9,58.8,13.4,5,clay,organic,Fruiting
28.4,62.4,11.2,4,clay,chemical,Fruiting
25.7,65.6,9.0,4,loamy,organic,Vegetative
23.6,64.0,8.0,4,loamy,chemical,Vegetative
22.0,69.5,6.5,6,clay,chemical,Vegetative
27.3,51.0,13.4,6,clay,organic,Fruiting
22.2,55.9,7.0,4,loamy,chemical,Vegetative
27.6,62.6,13.9,6,clay,chemical,Fruiting
26.8,58.2,8.3,5,loamy,chemical,Vegetative
24.3,58.5,8.5,3,loamy,organic,Flowering
26.8,62.4,13.1,5,clay,organic,Fruiting
26.4,61.2,6.3,4,clay,chemical,Vegetative
22.6,46.0,8.9,4,loamy,organic,Flowering
20.2,50.9,10.9,5,loamy,organic,Flowering
27.8,62.5,10.4,6,loamy,chemical,Fruiting
20.3,72.8,5.1,6,loamy,none,Seedling
21.4,56.2,9.9,3,loamy,organic,Flowering
22.6,72.4,5.5,6,sandy,none,Seedling
20.7,54.5,9.9,5,loamy,chemical,Flowering
25.8,51.5,9.3,4,loamy,chemical,Flowering
26.0,66.5,7.6,5,loamy,chemical,Vegetative
29.7,55.8,9.7,5,loamy,chemical,Fruiting
23.3,74.2,4.7,5,loamy,none,Seedling
26.3,66.5,6.6,4,loamy,chemical,Vegetative
24.4,59.9,12.1,6,clay,chemical,Fruiting
25.0,63.0,7.4,5,loamy,organic,Vegetative
22.1,55.3,8.7,4,clay,chemical,Vegetative
23.5,52.5,10.4,5,loamy,chemical,Flowering
26.0,63.9,6.8,4,clay,organic,Vegetative
25.7,57.0,8.0,5,loamy,organic,Vegetative
28.4,58.9,11.0,5,clay,organic,Fruiting
23.5,74.1,4.8,5,sandy,organic,Seedling
26.0,61.9,11.1,5,loamy,organic,Fruiting
22.6,66.6,7.3,5,loamy,chemical,Vegetative
19.7,71.4,6.3,7,loamy,none,Seedling
25.9,67.7,7.5,6,clay,chemical,Vegetative
19.1,67.6,5.9,7,loamy,none,Seedling
23.9,49.9,11.5,4,loamy,chemical,Flowering
23.4,48.0,11.1,5,loamy,organic,Flowering
22.8,57.0,6.4,5,loamy,organic,Vegetative
22.1,63.9,6.8,5,loamy,organic,Vegetative
25.6,53.0,10.4,3,loamy,organic,Flowering
23.9,69.3,5.4,5,sandy,none,Seedling
25.5,67.3,8.1,4,loamy,organic,Vegetative
22.4,48.0,10.8,4,loamy,organic,Flowering
24.7,59.6,6.6,4,loamy,organic,Vegetative
25.5,51.4,9.5,4,loamy,organic,Flowering
25.1,66.8,7.7,6,clay,chemical,Vegetative
25.8,64.7,8.5,4,loamy,chemical,Vegetative
23.3,77.6,5.0,7,loamy,none,Seedling
22.2,81.4,6.4,7,loamy,none,Seedling
27.1,63.8,11.0,6,clay,organic,Fruiting
24.2,58.7,10.4,3,loamy,organic,Flowering
27.2,59.1,7.5,6,loamy,organic,Vegetative
23.2,67.4,6.5,5,sandy,organic,Seedling
22.8,46.8,10.0,3,loamy,organic,Flowering
23.9,47.8,8.1,4,loamy,organic,Flowering
23.1,52.5,8.3,5,loamy,organic,Flowering
18.3,70.0,4.8,6,loamy,none,Seedling
26.0,63.4,8.7,4,loamy,chemical,Vegetative
23.0,72.5,5.7,5,sandy,none,Seedling
23.8,75.4,5.5,6,sandy,none,Seedling
25.7,69.4,6.2,4,loamy,chemical,Vegetative
23.1,68.9,6.6,6,loamy,chemical,Vegetative
26.2,57.9,6.5,4,loamy,chemical,Vegetative
27.8,55.9,6.8,4,clay,chemical,Vegetative
18.2,69.8,4.5,5,loamy,none,Seedling
24.7,62.3,9.3,5,clay,chemical,Fruiting
20.6,73.6,5.7,5,loamy,organic,Seedling
27.0,67.6,7.4,6,loamy,organic,Vegetative
26.8,58.8,14.0,5,clay,organic,Fruiting
24.8,53.7,10.1,5,loamy,organic,Fruiting
21.6,51.2,8.8,5,loamy,organic,Flowering
25.5,53.0,13.9,5,clay,organic,Fruiting
25.9,45.1,9.0,5,loamy,chemical,Flowering
20.3,50.8,9.8,4,loamy,organic,Flowering
21.8,53.1,8.6,5,loamy,chemical,Flowering
22.5,47.4,10.8,5,loamy,organic,Flowering
21.3,72.7,4.5,5,loamy,none,Seedling
24.2,50.0,11.0,4,loamy,organic,Flowering
24.5,46.6,11.9,3,loamy,chemical,Flowering
24.4,64.5,7.0,5,clay,chemical,Vegetative
27.3,59.4,12.8,5,clay,organic,Fruiting
25.8,52.7,13.8,4,clay,chemical,Fruiting
25.1,57.2,6.4,4,clay,organic,Vegetative
19.0,82.5,4.6,7,sandy,none,Seedling
29.1,64.8,9.3,6,loamy,chemical,Fruiting
28.0,59.5,12.9,4,loamy,chemical,Fruiting
26.4,62.6,6.7,6,loamy,organic,Vegetative
24.8,65.4,8.1,4,clay,chemical,Vegetative
21.4,72.6,4.0,7,loamy,none,Seedling
24.6,67.6,8.3,6,loamy,chemical,Vegetative
22.3,83.9,5.3,6,sandy,none,Seedling
20.8,59.5,10.0,4,loamy,chemical,Flowering
27.2,67.6,8.6,4,loamy,organic,Vegetative
21.7,58.1,11.5,4,loamy,chemical,Flowering
24.6,55.4,8.9,4,clay,organic,Vegetative
28.9,54.0,12.1,5,clay,chemical,Fruiting
28.2,52.5,13.1,4,clay,chemical,Fruiting
24.4,55.4,9.1,4,loamy,chemical,Flowering
25.5,50.2,12.4,4,clay,chemical,Fruiting
25.0,62.1,12.8,5,loamy,organic,Fruiting
23.1,80.4,5.8,5,sandy,organic,Seedling
24.6,55.5,11.5,4,loamy,chemical,Flowering
27.2,56.2,6.8,5,clay,chemical,Vegetative
19.2,65.4,6.7,6,sandy,organic,Seedling
22.6,71.8,4.3,7,sandy,none,Seedling
24.4,59.0,8.7,4,clay,organic,Vegetative
23.7,67.3,5.6,7,sandy,organic,Seedling
22.5,49.1,9.9,3,loamy,organic,Flowering
26.9,55.4,7.5,6,clay,chemical,Vegetative
25.2,58.4,8.6,6,loamy,organic,Vegetative
23.1,56.9,6.2,4,clay,organic,Vegetative
18.6,77.4,4.2,7,sandy,organic,Seedling
21.6,78.7,5.3,6,sandy,none,Seedling
25.0,60.8,7.3,4,loamy,chemical,Vegetative
24.0,50.5,11.7,5,loamy,chemical,Flowering
22.5,58.9,8.2,5,loamy,chemical,Vegetative
26.1,69.4,7.4,5,clay,chemical,Vegetative
20.9,54.7,8.9,4,loamy,chemical,Flowering
18.4,65.5,5.2,6,loamy,organic,Seedling
19.9,79.7,6.8,6,sandy,organic,Seedling
24.7,56.0,6.9,6,loamy,chemical,Vegetative
20.0,77.6,4.5,5,sandy,organic,Seedling
22.3,68.3,7.5,6,clay,chemical,Vegetative
25.8,59.3,11.6,5,clay,chemical,Fruiting
21.1,51.5,10.3,5,loamy,organic,Flowering
27.7,54.9,11.5,4,loamy,organic,Fruiting
29.6,51.9,11.5,6,clay,organic,Fruiting
24.3,47.4,9.9,3,loamy,chemical,Flowering
23.8,69.5,6.5,4,loamy,organic,Vegetative
26.5,62.8,7.6,4,loamy,chemical,Vegetative
27.6,57.4,12.0,5,loamy,organic,Fruiting
25.4,52.7,9.1,4,clay,chemical,Fruiting
22.6,66.0,7.7,4,loamy,organic,Vegetative
22.4,76.7,6.8,7,loamy,none,Seedling
23.3,58.8,6.7,5,loamy,organic,Vegetative
26.2,67.6,6.2,6,loamy,chemical,Vegetative
18.9,84.5,5.4,5,sandy,organic,Seedling
23.0,61.5,6.7,4,clay,chemical,Vegetative
24.7,58.4,11.2,3,loamy,organic,Flowering
26.0,56.3,8.4,4,loamy,chemical,Vegetative
24.8,51.3,13.6,5,loamy,chemical,Fruiting
28.2,53.4,10.1,6,clay,organic,Fruiting
25.8,54.8,13.6,5,loamy,organic,Fruiting
23.4,71.4,4.2,5,loamy,organic,Seedling
25.2,62.2,7.8,6,loamy,organic,Vegetative
24.3,51.8,9.3,4,loamy,chemical,Flowering
23.0,74.2,5.8,6,sandy,organic,Seedling
20.0,84.6,6.0,5,sandy,none,Seedling
28.0,52.0,12.4,4,loamy,organic,Fruiting
21.9,74.0,5.7,7,loamy,organic,Seedling
